frameid,trackerid,x_center,y_center,width,height
2,30,274.0,160.0,20.0,30.0
2,31,253.5,131.0,25.0,30.0
2,32,161.5,322.0,23.0,30.0
2,33,419.5,107.5,21.0,27.0
2,34,88.0,67.5,42.0,43.0
2,35,277.5,15.5,19.0,23.0
2,36,53.0,398.5,24.0,33.0
2,37,255.0,221.0,18.0,22.0
2,38,416.5,546.5,19.0,21.0
2,39,262.0,95.5,16.0,23.0
2,40,249.5,344.5,17.0,23.0
2,41,247.5,269.5,23.0,27.0
2,42,85.5,68.5,35.0,31.0
2,43,557.0,145.5,18.0,23.0
2,44,128.0,564.5,18.0,29.0
2,45,261.5,197.5,19.0,19.0
2,46,250.5,294.5,19.0,23.0
2,47,566.0,130.0,16.0,24.0
2,48,614.5,71.0,19.0,28.0
2,49,467.5,562.0,23.0,22.0
2,50,484.5,223.5,19.0,25.0
2,51,570.0,197.5,22.0,27.0
2,52,533.5,180.0,19.0,22.0
2,53,579.5,158.0,19.0,24.0
2,54,106.5,497.0,27.0,32.0
2,55,530.5,246.0,25.0,26.0
2,56,215.5,346.5,23.0,27.0
2,57,519.0,321.5,24.0,27.0
2,58,326.5,67.0,23.0,30.0
2,59,482.5,630.0,21.0,20.0
2,60,464.5,228.0,21.0,20.0
2,61,140.0,636.0,20.0,8.0
2,62,42.0,347.5,20.0,21.0
2,63,582.5,216.0,21.0,28.0
2,64,634.0,300.0,12.0,30.0
2,65,118.5,523.0,19.0,20.0
3,0,235.5,177.0,55.0,56.0
3,1,347.5,440.0,81.0,98.0
3,2,365.0,418.0,18.0,22.0
3,3,311.0,198.0,22.0,20.0
3,4,103.0,248.0,20.0,26.0
3,5,550.0,477.5,20.0,21.0
3,6,343.0,360.0,22.0,34.0
3,7,356.5,312.0,23.0,26.0
3,8,410.5,416.5,23.0,25.0
3,9,114.5,276.5,23.0,27.0
3,10,234.5,169.5,21.0,25.0
3,11,318.0,417.5,22.0,31.0
3,12,80.5,204.0,21.0,28.0
3,13,401.0,191.0,20.0,30.0
3,14,605.5,420.0,27.0,30.0
3,15,385.5,139.5,25.0,27.0
3,16,235.5,512.0,25.0,30.0
3,17,559.5,47.5,21.0,29.0
3,18,377.0,294.5,18.0,19.0
3,19,198.0,584.0,22.0,28.0
3,20,373.0,441.5,18.0,21.0
3,21,434.0,83.0,28.0,30.0
3,22,21.0,201.0,26.0,26.0
3,23,263.0,368.5,20.0,21.0
3,24,135.5,609.5,23.0,31.0
3,25,213.5,274.0,23.0,18.0
3,26,419.5,108.5,21.0,27.0
3,27,161.0,322.5,24.0,31.0
3,28,274.0,160.0,20.0,30.0
3,29,210.5,211.0,33.0,34.0
3,30,253.5,131.0,25.0,30.0
3,31,541.0,21.0,18.0,32.0
3,32,401.5,539.5,37.0,43.0
3,33,278.0,15.5,20.0,23.0
3,34,275.5,106.0,27.0,22.0
3,35,557.0,145.5,18.0,23.0
3,36,87.5,68.5,43.0,43.0
3,37,262.0,96.0,16.0,24.0
3,38,416.5,546.0,19.0,22.0
3,39,255.0,221.5,18.0,23.0
3,40,249.0,343.0,18.0,24.0
3,41,250.0,294.0,20.0,24.0
3,42,247.5,269.5,23.0,27.0
3,43,85.0,69.0,36.0,32.0
3,44,535.5,178.0,19.0,22.0
3,45,468.0,561.5,22.0,23.0
3,46,128.5,565.5,17.0,29.0
3,47,485.0,224.0,18.0,26.0
3,48,261.5,197.5,19.0,19.0
3,49,53.0,399.5,24.0,33.0
3,50,614.0,71.5,18.0,27.0
3,51,566.0,130.5,16.0,23.0
3,52,325.0,67.0,22.0,28.0
3,53,214.5,283.5,23.0,19.0
3,54,527.5,263.0,25.0,28.0
3,55,522.0,320.5,24.0,29.0
3,56,407.0,542.0,22.0,26.0
3,57,93.5,503.0,27.0,34.0
3,58,202.0,345.0,24.0,28.0
3,59,576.0,170.5,18.0,23.0
3,60,139.5,635.5,21.0,9.0
3,61,25.0,634.5,22.0,11.0
3,62,569.0,195.0,24.0,26.0
3,63,634.0,507.0,12.0,30.0
3,64,54.0,355.0,22.0,24.0
3,65,585.0,194.5,22.0,25.0
3,66,466.5,214.5,19.0,25.0
3,67,109.5,529.5,19.0,21.0
3,68,475.5,618.0,21.0,28.0
4,0,347.5,440.0,81.0,98.0
4,1,235.5,177.0,55.0,56.0
4,2,364.5,418.0,19.0,22.0
4,3,311.0,197.5,22.0,21.0
4,4,103.0,248.0,20.0,26.0
4,5,550.0,477.5,20.0,21.0
4,6,357.0,312.0,24.0,26.0
4,7,343.0,360.0,22.0,34.0
4,8,114.5,276.0,23.0,26.0
4,9,410.5,416.5,23.0,25.0
4,10,234.5,169.5,21.0,25.0
4,11,318.0,417.5,22.0,31.0
4,12,80.5,204.0,21.0,28.0
4,13,385.5,139.5,25.0,27.0
4,14,235.5,512.0,25.0,30.0
4,15,401.0,190.5,20.0,29.0
4,16,605.5,420.0,27.0,30.0
4,17,377.0,294.5,18.0,19.0
4,18,21.0,201.0,26.0,26.0
4,19,559.5,47.5,21.0,29.0
4,20,434.0,83.0,28.0,30.0
4,21,373.0,441.5,18.0,21.0
4,22,198.0,584.0,22.0,28.0
4,23,135.5,609.5,23.0,31.0
4,24,419.0,108.5,22.0,27.0
4,25,213.5,274.0,23.0,18.0
4,26,263.0,368.5,20.0,21.0
4,27,210.5,211.0,33.0,34.0
4,28,253.0,131.0,24.0,30.0
4,29,161.0,322.0,24.0,30.0
4,30,278.0,15.5,20.0,23.0
4,31,274.0,160.0,20.0,30.0
4,32,401.5,539.5,37.0,43.0
4,33,541.0,21.0,18.0,32.0
4,34,275.5,106.0,27.0,22.0
4,35,249.0,343.0,18.0,24.0
4,36,557.0,145.0,18.0,24.0
4,37,88.0,68.5,42.0,43.0
4,38,262.0,96.0,16.0,24.0
4,39,416.0,546.0,20.0,22.0
4,40,255.0,221.5,18.0,23.0
4,41,84.5,68.0,37.0,32.0
4,42,536.0,177.0,18.0,22.0
4,43,250.0,294.0,20.0,24.0
4,44,247.5,269.5,23.0,27.0
4,45,467.0,561.0,22.0,22.0
4,46,128.0,565.0,18.0,30.0
4,47,484.5,223.0,19.0,26.0
4,48,261.5,197.0,19.0,18.0
4,49,53.0,399.5,24.0,33.0
4,50,614.0,71.5,18.0,27.0
4,51,522.0,321.0,24.0,30.0
4,52,407.0,542.0,22.0,26.0
4,53,566.5,130.5,15.0,23.0
4,54,325.0,68.0,22.0,28.0
4,55,93.0,504.5,26.0,33.0
4,56,199.5,343.0,25.0,28.0
4,57,527.5,264.0,25.0,28.0
4,58,139.5,635.5,21.0,9.0
4,59,576.0,173.0,18.0,24.0
4,60,569.5,195.0,23.0,26.0
4,61,464.0,209.0,20.0,26.0
4,62,472.5,623.5,21.0,27.0
4,63,54.5,353.0,21.0,22.0
4,64,107.5,527.0,19.0,20.0
5,0,347.5,440.0,81.0,98.0
5,1,235.5,177.0,55.0,56.0
5,2,364.5,418.0,19.0,22.0
5,3,311.0,197.5,22.0,21.0
5,4,103.0,248.0,20.0,26.0
5,5,550.0,477.5,20.0,21.0
5,6,343.0,360.0,22.0,34.0
5,7,357.0,312.0,24.0,26.0
5,8,234.5,169.5,21.0,25.0
5,9,410.5,416.5,23.0,25.0
5,10,318.0,417.5,22.0,31.0
5,11,114.5,276.0,23.0,26.0
5,12,80.5,204.0,21.0,28.0
5,13,605.5,420.0,27.0,30.0
5,14,385.5,139.5,25.0,27.0
5,15,235.5,512.0,25.0,30.0
5,16,401.0,191.0,20.0,30.0
5,17,377.0,294.5,18.0,19.0
5,18,559.5,47.5,21.0,29.0
5,19,373.0,441.5,18.0,21.0
5,20,21.0,201.0,26.0,26.0
5,21,198.0,584.0,22.0,28.0
5,22,274.0,160.0,20.0,30.0
5,23,419.0,108.0,22.0,28.0
5,24,135.0,610.0,22.0,30.0
5,25,434.0,83.0,28.0,30.0
5,26,213.5,274.0,23.0,18.0
5,27,210.5,211.0,33.0,34.0
5,28,263.0,368.5,20.0,21.0
5,29,248.5,343.0,17.0,24.0
5,30,253.0,131.0,24.0,30.0
5,31,401.5,539.5,37.0,43.0
5,32,88.5,68.5,43.0,43.0
5,33,275.5,106.0,27.0,22.0
5,34,161.0,322.0,24.0,30.0
5,35,541.0,20.5,18.0,31.0
5,36,278.5,15.5,19.0,23.0
5,37,262.0,96.0,16.0,24.0
5,38,536.5,177.0,19.0,22.0
5,39,557.0,145.0,18.0,24.0
5,40,416.5,546.5,19.0,21.0
5,41,255.0,221.5,18.0,23.0
5,42,485.0,223.0,18.0,26.0
5,43,247.5,269.5,23.0,27.0
5,44,250.0,294.0,20.0,24.0
5,45,84.5,68.0,37.0,32.0
5,46,467.0,560.5,22.0,23.0
5,47,128.0,565.0,18.0,30.0
5,48,261.0,197.5,20.0,19.0
5,49,52.5,398.5,23.0,33.0
5,50,614.0,71.5,18.0,27.0
5,51,522.0,321.0,24.0,30.0
5,52,325.0,69.5,22.0,27.0
5,53,566.0,130.5,16.0,23.0
5,54,407.0,542.0,22.0,26.0
5,55,91.0,507.5,26.0,33.0
5,56,24.5,631.5,19.0,17.0
5,57,201.0,341.0,24.0,28.0
5,58,529.0,266.5,24.0,27.0
5,59,55.5,350.5,19.0,23.0
5,60,139.5,635.5,21.0,9.0
5,61,569.5,197.5,23.0,23.0
5,62,462.5,204.5,21.0,25.0
5,63,576.0,175.0,18.0,24.0
5,64,632.5,631.5,15.0,17.0
5,65,470.0,620.0,20.0,28.0
5,66,106.5,525.5,19.0,23.0
5,67,636.5,39.0,7.0,26.0
6,0,235.5,177.5,55.0,55.0
6,1,348.0,440.0,80.0,96.0
6,2,364.5,418.0,19.0,22.0
6,3,358.0,313.0,24.0,26.0
6,4,311.0,197.5,22.0,19.0
6,5,234.5,511.5,25.0,31.0
6,6,104.0,248.0,20.0,26.0
6,7,167.5,323.5,25.0,31.0
6,8,88.0,70.0,36.0,32.0
6,9,213.5,210.5,31.0,33.0
6,10,411.5,416.5,23.0,25.0
6,11,438.0,84.5,28.0,29.0
6,12,256.0,131.0,24.0,30.0
6,13,373.0,441.5,18.0,21.0
6,14,378.0,295.5,18.0,19.0
6,15,319.0,415.0,22.0,30.0
6,16,213.5,274.0,23.0,18.0
6,17,136.0,613.0,22.0,30.0
6,18,275.5,106.0,27.0,22.0
6,19,402.0,539.5,38.0,43.0
6,20,343.0,360.0,22.0,34.0
6,21,81.0,204.0,20.0,28.0
6,22,21.0,201.5,26.0,27.0
6,23,89.0,70.0,42.0,44.0
6,24,405.0,194.0,20.0,30.0
6,25,388.5,142.0,25.0,22.0
6,26,606.5,418.5,27.0,29.0
6,27,541.5,20.5,19.0,31.0
6,28,274.0,161.0,20.0,30.0
6,29,234.5,170.0,21.0,24.0
6,30,117.5,276.0,23.0,26.0
6,31,249.5,269.0,23.0,26.0
6,32,420.0,107.5,22.0,27.0
6,33,255.0,222.0,18.0,22.0
6,34,263.0,198.5,20.0,19.0
6,35,342.5,79.5,23.0,27.0
6,36,56.5,401.5,23.0,33.0
6,37,279.5,15.0,19.0,24.0
6,38,467.0,535.5,18.0,27.0
6,39,254.0,343.0,18.0,24.0
6,40,262.5,94.0,15.0,22.0
6,41,253.0,295.5,20.0,23.0
6,42,488.0,221.5,20.0,25.0
6,43,537.5,192.5,25.0,21.0
6,44,559.0,141.5,18.0,23.0
6,45,559.5,47.5,21.0,29.0
6,46,133.0,564.0,18.0,30.0
6,47,557.5,333.0,21.0,20.0
6,48,420.5,546.5,19.0,21.0
6,49,76.5,142.5,21.0,31.0
6,50,566.5,129.5,15.0,23.0
6,51,407.5,541.5,23.0,27.0
6,52,615.5,74.5,19.0,27.0
6,53,201.0,583.5,22.0,29.0
6,54,547.5,476.5,19.0,21.0
6,55,259.5,366.0,19.0,20.0
6,56,338.5,459.5,23.0,25.0
6,57,587.0,181.5,22.0,23.0
6,58,249.5,373.5,23.0,23.0
6,59,524.0,467.0,20.0,28.0
6,60,609.0,148.5,20.0,23.0
6,61,208.0,608.5,22.0,27.0
6,62,576.5,262.0,23.0,22.0
7,0,347.5,440.5,81.0,97.0
7,1,235.0,177.0,54.0,56.0
7,2,364.5,418.0,19.0,22.0
7,3,311.0,198.0,22.0,20.0
7,4,103.0,247.5,20.0,27.0
7,5,357.0,312.0,24.0,26.0
7,6,343.0,360.0,22.0,34.0
7,7,549.5,477.5,19.0,21.0
7,8,234.5,169.5,21.0,25.0
7,9,80.5,204.0,21.0,28.0
7,10,114.5,276.0,23.0,26.0
7,11,318.0,417.5,22.0,31.0
7,12,410.0,416.5,22.0,25.0
7,13,401.0,191.0,20.0,30.0
7,14,605.5,420.0,27.0,30.0
7,15,235.5,512.0,25.0,30.0
7,16,385.5,139.5,25.0,27.0
7,17,210.5,210.5,31.0,33.0
7,18,21.0,201.5,26.0,27.0
7,19,558.5,47.0,21.0,30.0
7,20,161.0,322.0,24.0,30.0
7,21,537.5,177.0,19.0,22.0
7,22,419.0,108.0,22.0,28.0
7,23,372.5,441.5,19.0,21.0
7,24,213.5,274.0,23.0,18.0
7,25,274.0,159.5,20.0,29.0
7,26,377.0,294.0,18.0,20.0
7,27,434.0,83.0,28.0,30.0
7,28,198.0,583.5,22.0,27.0
7,29,402.0,539.5,38.0,43.0
7,30,135.5,609.5,23.0,31.0
7,31,253.0,131.0,24.0,30.0
7,32,275.5,106.0,27.0,22.0
7,33,249.0,343.5,18.0,23.0
7,34,263.0,367.5,20.0,21.0
7,35,540.5,21.5,19.0,31.0
7,36,88.5,68.0,43.0,44.0
7,37,466.0,561.5,22.0,23.0
7,38,416.0,546.0,20.0,22.0
7,39,262.0,96.0,16.0,24.0
7,40,278.5,15.0,19.0,22.0
7,41,255.0,221.5,18.0,23.0
7,42,557.0,146.0,18.0,24.0
7,43,247.5,269.5,23.0,27.0
7,44,53.0,398.5,24.0,33.0
7,45,250.0,294.0,20.0,24.0
7,46,84.0,68.0,36.0,32.0
7,47,128.0,565.5,18.0,29.0
7,48,567.0,131.5,16.0,23.0
7,49,261.0,197.5,20.0,19.0
7,50,485.0,223.5,20.0,25.0
7,51,325.0,72.5,22.0,27.0
7,52,613.5,71.5,17.0,27.0
7,53,214.5,283.5,23.0,19.0
7,54,198.0,337.0,24.0,28.0
7,55,521.5,321.0,23.0,28.0
7,56,24.5,629.0,17.0,22.0
7,57,89.0,509.0,26.0,30.0
7,58,631.0,628.0,18.0,24.0
7,59,531.5,270.5,25.0,29.0
7,60,57.0,344.0,20.0,22.0
7,61,632.5,492.0,15.0,28.0
7,62,109.5,517.5,17.0,23.0
7,63,139.5,635.0,21.0,10.0
7,64,570.5,197.0,23.0,24.0
7,65,576.5,181.0,19.0,24.0
7,66,634.5,45.5,11.0,25.0
7,67,467.5,618.5,21.0,27.0
7,68,455.5,211.5,23.0,25.0
7,69,592.0,189.5,22.0,25.0
8,0,235.0,177.0,54.0,56.0
8,1,347.5,440.5,81.0,97.0
8,2,364.5,418.0,19.0,22.0
8,3,311.0,198.0,22.0,20.0
8,4,103.0,247.5,20.0,27.0
8,5,356.5,312.0,23.0,26.0
8,6,343.0,360.0,22.0,34.0
8,7,550.0,478.0,20.0,20.0
8,8,114.5,276.0,23.0,26.0
8,9,80.5,204.0,21.0,28.0
8,10,234.5,169.5,21.0,25.0
8,11,410.0,416.5,22.0,25.0
8,12,318.0,417.5,22.0,31.0
8,13,605.5,420.0,27.0,30.0
8,14,538.0,177.0,18.0,22.0
8,15,385.5,139.5,25.0,27.0
8,16,401.0,191.0,20.0,30.0
8,17,235.5,512.0,25.0,30.0
8,18,210.5,210.5,31.0,33.0
8,19,558.5,47.0,21.0,30.0
8,20,372.5,441.5,19.0,21.0
8,21,20.5,201.5,25.0,27.0
8,22,419.0,108.0,22.0,28.0
8,23,198.0,583.5,22.0,27.0
8,24,377.0,294.0,18.0,20.0
8,25,160.5,322.0,23.0,30.0
8,26,213.5,274.0,23.0,18.0
8,27,263.0,367.5,20.0,21.0
8,28,274.0,159.5,20.0,29.0
8,29,434.0,83.0,28.0,30.0
8,30,401.5,539.5,37.0,43.0
8,31,540.5,21.5,19.0,31.0
8,32,275.5,106.0,27.0,22.0
8,33,249.0,343.5,18.0,23.0
8,34,253.0,131.0,24.0,30.0
8,35,135.0,609.0,22.0,30.0
8,36,88.5,68.5,43.0,43.0
8,37,278.5,15.0,19.0,22.0
8,38,466.0,561.0,22.0,22.0
8,39,262.0,96.0,16.0,24.0
8,40,416.0,546.0,20.0,22.0
8,41,255.0,221.5,18.0,23.0
8,42,214.5,283.5,23.0,19.0
8,43,557.0,146.0,18.0,24.0
8,44,247.5,269.5,23.0,27.0
8,45,85.0,68.0,36.0,32.0
8,46,250.0,294.0,20.0,24.0
8,47,53.0,398.5,24.0,33.0
8,48,567.0,131.5,16.0,23.0
8,49,128.0,565.5,18.0,29.0
8,50,261.0,197.5,20.0,19.0
8,51,325.5,73.0,23.0,28.0
8,52,484.5,223.5,19.0,25.0
8,53,613.5,71.5,17.0,27.0
8,54,196.5,335.5,25.0,29.0
8,55,522.0,320.5,24.0,29.0
8,56,85.5,509.0,27.0,30.0
8,57,24.0,629.0,18.0,22.0
8,58,59.0,343.5,20.0,21.0
8,59,631.0,626.5,18.0,27.0
8,60,631.5,494.5,17.0,29.0
8,61,530.0,272.5,26.0,29.0
8,62,633.0,49.0,14.0,26.0
8,63,110.5,518.0,19.0,24.0
8,64,138.5,635.5,21.0,9.0
8,65,571.5,198.0,23.0,24.0
8,66,470.0,614.5,20.0,25.0
8,67,574.0,183.0,20.0,24.0
8,68,451.5,206.5,23.0,27.0
8,69,591.0,185.0,20.0,26.0
9,0,235.5,177.0,55.0,56.0
9,1,347.5,440.5,81.0,97.0
9,2,364.5,418.0,19.0,22.0
9,3,235.5,512.5,25.0,31.0
9,4,311.0,198.5,22.0,21.0
9,5,103.0,247.5,20.0,25.0
9,6,550.0,477.5,20.0,21.0
9,7,356.0,312.0,24.0,26.0
9,8,343.0,360.0,22.0,34.0
9,9,234.5,169.5,21.0,25.0
9,10,80.5,204.0,21.0,28.0
9,11,385.0,140.0,26.0,28.0
9,12,318.0,417.5,22.0,31.0
9,13,114.5,276.0,23.0,26.0
9,14,410.0,416.5,22.0,25.0
9,15,605.5,420.0,27.0,30.0
9,16,198.0,584.0,22.0,28.0
9,17,400.0,190.0,20.0,30.0
9,18,213.5,274.0,23.0,18.0
9,19,210.0,211.0,32.0,34.0
9,20,538.5,175.5,19.0,23.0
9,21,20.5,201.5,25.0,27.0
9,22,377.0,294.0,18.0,20.0
9,23,434.0,83.0,28.0,30.0
9,24,262.0,367.5,20.0,21.0
9,25,274.0,159.5,20.0,29.0
9,26,419.5,108.5,21.0,27.0
9,27,372.5,441.5,19.0,21.0
9,28,252.5,131.0,25.0,30.0
9,29,401.0,539.5,36.0,43.0
9,30,275.5,106.0,27.0,22.0
9,31,558.5,47.0,21.0,30.0
9,32,541.0,21.5,18.0,31.0
9,33,262.0,96.5,16.0,23.0
9,34,278.5,15.0,19.0,22.0
9,35,133.5,609.5,23.0,31.0
9,36,88.5,68.5,43.0,43.0
9,37,415.0,546.5,20.0,23.0
9,38,255.0,221.5,18.0,23.0
9,39,84.0,68.5,36.0,31.0
9,40,249.0,345.0,18.0,24.0
9,41,486.0,224.0,20.0,24.0
9,42,246.5,269.5,23.0,27.0
9,43,159.5,322.0,23.0,30.0
9,44,249.0,294.0,20.0,24.0
9,45,556.5,146.0,19.0,24.0
9,46,52.5,398.0,23.0,32.0
9,47,260.5,197.0,19.0,20.0
9,48,464.0,563.5,22.0,23.0
9,49,179.5,322.0,23.0,28.0
9,50,569.0,131.0,16.0,24.0
9,51,522.0,320.0,24.0,28.0
9,52,131.0,565.5,18.0,29.0
9,53,613.5,71.0,17.0,26.0
9,54,599.0,163.5,20.0,29.0
9,55,322.0,70.0,22.0,28.0
9,56,71.0,524.0,26.0,30.0
9,57,634.0,75.0,12.0,24.0
9,58,432.5,196.0,23.0,26.0
9,59,18.5,626.5,21.0,25.0
9,60,113.0,486.5,18.0,21.0
9,61,455.5,600.0,19.0,24.0
9,62,138.5,634.5,21.0,11.0
9,63,533.5,295.5,23.0,27.0
9,64,72.5,328.5,21.0,23.0
9,65,621.5,500.0,23.0,30.0
9,66,569.0,195.5,22.0,25.0
9,67,635.0,298.0,10.0,28.0
10,0,235.5,177.0,55.0,56.0
10,1,347.5,440.5,81.0,97.0
10,2,364.5,418.0,19.0,22.0
10,3,311.0,198.5,22.0,21.0
10,4,356.0,312.0,24.0,26.0
10,5,103.0,248.0,20.0,26.0
10,6,550.0,477.5,20.0,21.0
10,7,343.0,360.0,22.0,34.0
10,8,234.5,169.5,21.0,25.0
10,9,114.0,276.0,24.0,26.0
10,10,410.0,416.5,22.0,25.0
10,11,318.0,417.5,22.0,31.0
10,12,80.5,204.0,21.0,28.0
10,13,384.5,139.5,25.0,27.0
10,14,235.5,512.5,25.0,31.0
10,15,198.0,584.0,22.0,28.0
10,16,605.5,420.0,27.0,30.0
10,17,213.5,274.0,23.0,18.0
10,18,21.0,201.5,26.0,27.0
10,19,210.0,211.5,32.0,33.0
10,20,373.0,441.5,18.0,21.0
10,21,419.5,108.5,21.0,27.0
10,22,538.0,175.5,18.0,23.0
10,23,252.0,131.0,24.0,30.0
10,24,433.5,83.0,27.0,30.0
10,25,275.5,106.0,27.0,22.0
10,26,262.0,367.5,20.0,21.0
10,27,401.5,540.0,37.0,42.0
10,28,377.0,294.0,18.0,20.0
10,29,88.5,68.5,43.0,43.0
10,30,540.5,21.0,19.0,32.0
10,31,278.0,15.0,20.0,22.0
10,32,274.0,159.5,20.0,29.0
10,33,84.5,68.5,35.0,31.0
10,34,400.0,190.0,20.0,30.0
10,35,255.0,221.0,18.0,22.0
10,36,262.0,96.5,16.0,23.0
10,37,558.5,47.0,21.0,30.0
10,38,133.5,610.5,23.0,31.0
10,39,249.0,345.0,18.0,24.0
10,40,415.5,546.5,21.0,23.0
10,41,249.0,294.0,20.0,24.0
10,42,247.0,269.5,22.0,27.0
10,43,486.5,222.5,19.0,25.0
10,44,555.5,145.0,19.0,26.0
10,45,159.5,322.0,23.0,30.0
10,46,261.0,197.5,20.0,19.0
10,47,129.5,566.5,17.0,29.0
10,48,64.5,523.0,27.0,32.0
10,49,214.5,283.5,23.0,19.0
10,50,613.0,71.0,18.0,26.0
10,51,595.5,158.0,19.0,28.0
10,52,566.0,129.0,16.0,24.0
10,53,52.5,397.5,23.0,31.0
10,54,522.5,321.5,25.0,29.0
10,55,464.5,565.0,21.0,24.0
10,56,177.5,318.0,23.0,26.0
10,57,321.5,66.5,23.0,29.0
10,58,633.5,78.0,13.0,24.0
10,59,109.5,494.5,21.0,21.0
10,60,570.5,196.5,23.0,25.0
10,61,616.0,504.0,22.0,30.0
10,62,582.5,210.0,19.0,24.0
10,63,138.5,635.0,21.0,10.0
10,64,431.0,192.0,22.0,28.0
10,65,74.0,339.0,20.0,20.0
10,66,532.0,301.0,22.0,26.0
10,67,448.5,594.5,21.0,25.0
10,68,16.5,623.0,21.0,28.0
11,0,235.5,177.0,55.0,56.0
11,1,347.5,440.5,81.0,97.0
11,2,364.5,418.0,19.0,22.0
11,3,311.0,198.5,22.0,21.0
11,4,356.0,312.0,24.0,26.0
11,5,103.0,248.0,20.0,26.0
11,6,550.0,478.0,20.0,20.0
11,7,343.0,359.5,22.0,35.0
11,8,80.5,204.0,21.0,28.0
11,9,114.0,276.0,24.0,26.0
11,10,234.5,169.5,21.0,25.0
11,11,410.0,416.5,22.0,25.0
11,12,318.0,417.5,22.0,29.0
11,13,385.0,139.5,26.0,27.0
11,14,235.5,512.5,25.0,31.0
11,15,605.5,420.0,27.0,30.0
11,16,197.5,584.0,23.0,28.0
11,17,213.5,274.0,23.0,18.0
11,18,21.0,201.5,26.0,27.0
11,19,210.0,211.5,32.0,33.0
11,20,419.5,108.5,21.0,27.0
11,21,538.0,175.5,18.0,23.0
11,22,377.0,294.0,18.0,20.0
11,23,401.5,540.0,37.0,42.0
11,24,252.0,131.0,24.0,30.0
11,25,262.0,367.5,20.0,21.0
